title,link,description,provider
История зарубежной литературы (конец XIX – начало XXI в.),https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=14772920,"цель курса история зарубежной литературы  сформировать представление о становлении
зарубежных литератур о международных связях и взаимодействиях в том числе с русской литературой а
также формирование системы знаний умений и владений необходимых для полноценного восприятия и
анализа произведений словесного искусства",Система электронного обучения ВВГУ
История и культура Санкт-Петербурга и Ленинградской области,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=142087,в данном курсе рассматриваются отдельные актуальные проблемы истории санктпетербурга как культурного и исторического феномена в истории россиив предлагаемых лекциях будут освещены вопросы связанные с особенностями формирования населения история развития и функционирования городской власти и уникального промышленного потенциала столицы российской империи особое внимание в курсе уделяется проблемам формирования редкостного градостроительного и архитектурного облика санктпетербурга,Открытое образование
История и культура Урала,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=123461,цели курса  познакомить с историей и культурой урала студентов бакалавриата и магистратуры практические навыки получаемые в процессе освоения курса навыки работы с текстовой и визуальной информацией  фотографиями картами и прво время курса можно будет познакомиться с большим количеством фотографий достопримечательностей и культурных явлений урала автор курса собирал и разрабатывал этот материал во время многочисленных поездок по территории урала большинство фотографий представленных в презентациях являются авторскими,Открытое образование
История и методология науки,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=604950,курс рассматривает исторические и методологические аспекты науки его задача  показать что несмотря на историческую изменчивость существуют определенные критерии научности в частности требование реализовывать определенную  научную  методологию что при всей строгости и объективности научного знания оно не может обойтись без субъективного произвола исследователя,Открытое образование
История и перспективы развития железнодорожного транспорта,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11216316,онлайн курс история и перспективы развития железнодорожного транспорта направлен на изучение одноименной дисциплины для студентов а также слушателей курсов связанных с работой железнодорожного транспорта помимо вышесказанного представленный материал интересен всем тем кто интересуется историей стальных магистралей для объективного представления картины прошлого железных дорог мы изучим различные виды исторических источников включая архивные материалы рассекреченные совсем недавно присоединяйтесь к увлекательному путешествию в историю и современность железных дорог,MOOPED - Портал онлайн-образования Поволжского РЦКОО
История и теория медиа,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=4060,курс демонстрирует роль которую играют медиа вформировании национальных государств капиталистическои экономики иучастия населения вполитике также вкурсе рассмотрены теоретические подходы кизучению медиа икоммуникации представлены макросоциальные имикросоциальные теории медиа сточки зрения изучения медиаинститутов сообщении медиа материалов каналов коммуникации имедиаэффектов,Открытое образование
История и технологии выживания,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=3631,в каждом учебном заведении читают обязательные курсы по безопасности жизнедеятельности нередко эти курсы проходят мимо нас потому что дети и так не жгут костры а на вулканы городской житель забирается редко понятие безопасности не задерживается в нашей жизни между тем эта область знания призвана в том числе сформировать целостное представление о нашей среде обитания и помочь адаптироваться в ней курс построен на междисциплинарном подходе это значит что вы восстановите связи между планетарными и личными вопросами человеческим и животным мирами между стихийными и социальными явлениями и конечно узнаете как сделать свою жизнь безопаснее,Лекториум
История и философия науки,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11201287,курс состоит из четырех разделов особое внимание в курсе уделено доклассическому классическому неклассическому постнеклассическому фундаментальным этапам в развитии науки и философии рассматриваются онтологические и эпистемологические концепции для этих этапов и их изменения обусловленные развитием науки и философии рассмотрены типы научной рациональности и становление научного мировоззрения значительное внимание уделено общенаучным и специальным научным картинам мира дисциплинарным онтологиям  курс опирается на философскую методологию рациональными средствами выявляющую предельные основания науки обобщенную картину мира и место человека в ней используются эмпирические и теоретические методы постижения действительности базирующиеся на логических и эпистемологических критериях,MOOPED - Портал онлайн-образования Поволжского РЦКОО
История и философия науки. Общие проблемы философии науки,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11203722,"курс история и философия науки общие проблемы философии науки является сопутствующим научноисследовательской деятельности в подготовке диссертации на соискание ученой степени кандидата наук служит основой для оптимизации работы над темой кандидатской диссертации для совершенствования интеллектуальных навыков и умений в дальнейшей профессиональной деятельности

после прохождения итогового тестирования и получения сертификата об успешном освоении онлайнкурса история и философия науки башкирский государственный   университет предоставляет возможности подготовки реферата и сдачи кандидатского экзамена по данному курсу с помощью дистанционных образовательных технологий в соответствии с правилами установленными в башкирском государственном университете

курс использует современные инновационные технологии в которые входят видеолекции сопровождаемые текстами объяснениями ссылками заданиями тестами также у каждого участника имеет возможность получения индивидуальной консультации от автора курса",Портал онлайн-образования в БашГУ
История и философия техники,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=3777,"дисциплина история и философия науки и техники история и философия инженерного искусства относится к базовой или вариативной части математического и естественнонаучного цикла дисциплин при освоении ооп по направлениям подготовки

курс представляет собой введение в проблематику истории техники как основы современного индустриального общества освоение курса должно способствовать получению представлений об основных тенденциях в развитии техники

цель курса заключается в формировании целостной картины развития техники во взаимосвязи с историей цивилизации достижение цели обеспечивается решением четырёх основных нижеперечисленных методических задач


	
	раскрытие глобальных закономерностей в появлении развитии и распространении базовых технологий и техники
	
	
	анализ и обоснование обусловленности появления новых технологий и техники в конкретных исторических условиях временных и географических координатах
	
	
	раскрытие закономерностей в появлении и развитии технических наук
	
	
	воспитание у студентов инженерной культуры анализа технологических процессов
	


комфортности и высокому качественному уровню усвоения студентами изучаемого материала способствуют с одной стороны популярность изложения материалов лекционной части курса в которой вопросы истории техники и формирования индустриального наследия рассматриваются в связи с историей цивилизации а с другой стороны  конкретностью практических занятий",Открытое образование
История и философия технической реальности,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=607324,курс содержит два модуля первые шесть тем иллюстрируют развитие техники и технологии и подводят нас ко вторым шести темам отражающим современное положение дел  техническую реальность ее возможные интерпретации и поднимаемые проблемы рассматриваются достижения в этой области отечественных мыслителей,Открытое образование
История ИЗО,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=604952,"человек соприкасается с искусством каждый день с самого рождения и на протяжении всей своей жизни люди погружены в искусство отели вокзалы магазины костюмы ювелирные украшения даже прически могут быть произведениями искусства но могут и не быть далеко не каждую картину скульптуру или дворец считают шедеврами как отличить произведение искусства от ремесленных поделок

не существует рецепта что и в каких пропорциях надо соединить чтобы получить шедевр однако можно развивать свою способность чувствовать и ценить прекрасное которую принято называть вкусом  данный курс ответит на ключевые вопросы что такое искусство почему оно имеет такую магическую власть над человеком какие тайны скрывают знаменитые шедевры

из курса вы узнаете что искусство отражает жизнь это во многом верно нередко точность узнаваемость того что изображают художники поразительна но вряд ли простое отражение жизни копирование вызывали бы столь сильный интерес к искусству и восхищение им",Открытое образование
История ислама в России,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11203702,онлайнкурс история ислама в россии предназначен для формирования у обучающихся в образовательных учреждениях высшего образования целостного представления о распространении религиозных и этнических особенностях различных аспектах межэтнического и межконфессионального взаимодействия ислама и мусульманских общин на территории российской федерации с vii века по настоящее времяв ходе реализации курса используются мультимедийные видеолекции аудиолекции презентации инфографика и текстовые способы подачи информации применяются тесы на усвоение основной информации модулей и тем вопросы открытого типа на сформированность исследовательских умений и навыков творческие задания анализ исторических источников эссе на сформированность навыков самостоятельного научного поиска,Портал онлайн-образования в БашГУ
История Калининградской области,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=14197704,курс история калининградской области посвящен ключевым эпизодам истории региона который сегодня известен как калининградская область курс создан историками бфу им и канта калининградского областного историкохудожественного музея калининградского областного музея янтаря калининградской областной научной библиотеки и других учреждений региона ключевой акцент в курсе делается на эпизодах в которых история россии переплеталась с историей немецкого ордена герцогства пруссия королевства пруссия германской империи и веймарской республики лекции курса освещают события второй мировой войны переговоров в ходе которых восточная пруссия вошла в состав советского союза образование калининградской области и ее развитие,Онлайн-обучение в БФУ им И. Канта
История классической японской литературы,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=3590,"предлагаемый курс посвящен проблемам средневековой культуры отраженным в истории японской литературы и обладающим не утраченной в наши дни актуальностью современная эпоха информационной глобализации существенно затрудняет культурноисторическую самоидентификацию молодого поколения и порождает ряд фундаментальных вопросов парадоксально напоминающих некоторые черты средневековой аксиологии достижения и потери исторической культуры любого народа заставляют  серьезно задуматься о сути культуры как явления и о той роли которую она призвана играть  в будущем  своей собственной страны

цель освоения курса

1снять ряд ложных стереотипов как в отношении средневековой культуры вообще так и японской в частности

2убедить слушателей в необходимости обращения к истории русской культуры для понимания современных явлений и прогнозирования будущих

задачи курса

1уяснение методов  сравнительнокультурного анализа

2наглядное обоснование важности исторического контекста для адекватной оценки любых явлений культуры включая литературу

3выявление наиболее неочевидных спорных моментов в понимании произведений средневековой литературы японии

4формирование самостоятельного критикоаналитического подхода к фактам средневековой культуры

5воспитание конструктивного отношения к историческому дискурсу",Открытое образование
История литературы Серебряного века,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11070810,предмет курса  литература русского серебряного века то есть конца xix  начала хх столетия в центре внимания  словарь этой эпохи которая создала свой особый язык непонятный без специальной подготовки ту же эпоху принято называть эпохой модернизма от латинского слова modernus  современный недавний что указывает на решительное обновление культуры происшедшее в это время в русской литературе к модернизму прежде всего относятся три течения  символизм акмеизм и футуризм эти слова тоже требуют пояснения а знакомство с течениями модернизма будет сопровождаться освоением других непонятных или не очень понятных слов и понятий декаданс меонизм имморализм интуитивизм дионисийство третий завет самообожение всеединство соборность софийность историософия вечное возвращение кларизм адамизм будетляне самовитое слово заумь и так далее язык серебряного века  это действительно особый язык и каждое занятие курса посвящено какомуто новому непривычному слову или понятию прослушав весь курс можно получить представление о важных событиях в культуре того времени о некоторых философских идеях важных для нее о таких ярких фигурах литературного процесса конца xix  начала хх века как николай минский александр добролюбов не путать со знаменитым критиком владимир соловьев дмитрий мережковский зинаида гиппиус валерий брюсов федор сологуб вячеслав иванов андрей белый александр блок велимир хлебников владимир маяковский,Открытое образование
История международных отношений России,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=604390,история международных отношений как самостоятельная историческая дисциплина изучает комплекс проблем связанных с формированием и развитием систем и подсистем международных отношений ролью внешнеполитических экономических культурных и иных связей между государствами организациями и другими акторами действующими на мировой арене ее изучение необходимо для понимания специфики складывания современной системы международных отношений и уяснения места и роли россии в этой системе курс построен следующим образом вначале описывается ряд ключевых событий мировой истории оказавших важнейшее влияние на формирование и структуру международных отношений затем дается представление о роли личности в истории международных отношений и наконец поднимается проблема системности в истории международных отношений и эволюции системы международных отношений,Образование на русском
История науки и техники в области приборостроения,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11050970,узнав об эволюции научных и технических идей и изменении методологии научнотехнического творчества вы расширите профессиональный кругозор в результате курса вы сможете выбирать оптимальные пути как индивидуальной так и групповой деятельности при реализации технических проектов выполнение практических заданий включает использование методов развития творческого мышления и составление заявки на патент рф на полезную модель,Открытое образование
История науки и техники в области приборостроения,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=4458,курс об истории развития приборостроения и технических наук в целом   узнав об эволюции научных и технических идей и изменении методологии научнотехнического творчества вы расширите профессиональный кругозор  на примерах вы научитесь сопоставлять решаемые технические задачи с состоянием и уровнем развития общества,Лекториум
История отечественной журналистики,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=14890779,цель курса  познакомить обучающегося с основными периодическими изданиями  и известными персонами российской журналистики сыгравшим важную роль в ее становлении и развитии это издатели писатели и поэты совмещавшие литературную деятельность с журналисткой либо публикующие свои произведения в периодической печати а позже и профессиональные журналисты узнать  о том как исторические события отражались на тенденциях развития российской журналистики и как менялась публицистическая риторика и способы ее воздействия на массовое сознание в зависимости от социальнополитической и экономической ситуации в стране сформировать понимание связи журналистики с политическими экономическими культурными и социальными процессами и поможет найти ответы на самые острые вопросы современной реальности,Система электронного обучения ВВГУ
История политической мысли от Античности до 17 века,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=14197538,"курс является историческим введением в политическую философию от античности xvii века 
 в краткой и доступной форме разбираются политикофилософские теории концепции и понятия такие как общественный договор политика демократия суверенитет и др впервые введенные мыслителями прошлого но до сих пор сохраняющие значение для политической теории и практики слушатели познакомятся с основными текстами и именами западной политикофилософской традиции 
 цель курса  рассмотреть историческое развитие основных политикофилософских понятий определивших понимание политических феноменов западной науке 
 материал курса организован по хронологии после вводной лекции в которой рассматривается понятие политической философии ее предмет и методы исследования и ее отношение с другими гуманитарными дисциплинами следует последовательное изложение основных политикофилософских концепций начиная с философии платона и аристотеля и заканчивая построениями гоббса и локка 
 курс предназначен для обучающихся бакалавриата направлений философия история политология социология и других социальногуманитарных направлений подготовки а также для всех интересующихся вопросами теории политики",Онлайн-обучение в БФУ им И. Канта
История природопользования в России,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=1128982,разделами курса история природопользования в россии являютсяисторический опыт природопользования от древности до наших днейистория природообустройстваистория земельных отношенийистория экологии в россии,е-Сибирь – платформа онлайн-обучения Сибирского РЦКОО
История развития мордовского края,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11558823,курс направлен на определение системы знаний студентов в области исторического развития мордовского края с древнейших времен до современностикурс будет полезен широкому кругу слушателей интересующихся историей финноугорских народов школьникам и студентам обучающимся в образовательных организациях республики мордовия а также учителям журналистам писателям иностранцам изучающим историю народов россиив курсе освещены вопросы связанные с эволюцией эрзянской и мокшанской групп племен в составе древнемордовской общности процессом этногенеза древней мордвы конкретизацией положения мордвы в системе золотой орды вхождения мордвы в состав древнерусского государства раскрываются особенности сельскохозяйственного промышленного социальноэкономического развития и общественнополитической жизни в разные периоды исторического развития мордовского края,Огарёв-University
История рекламных инструментов,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=121723,история рекламный инструментов  емкий и четко структурированный онлайнкурс где будет показана история развития инструментов рекламной коммуникации их взаимное влияние и эволюция а также связь с культурным контекстом в целомцель курса дать слушателю базовые знания рекламных инструментов в порядке их появления вовлечь в практические упражнения для личного понимания каждого инструмента стимулировать создание собственного рекламного проекта как зачетной работы в результате прослушивания курса слушатели смогут перечислить основные рекламные инструменты в последовательности их появления назвать имена выдающихся деятелей рекламы в связи с их достижениями в использовании рекламных инструментов а также назвать и узнавать на изображении ключевые произведения характеризующие важнейшие вехи в истории рекламыоценочные мероприятия будут представлять собой текстовые тесты и вопросы по иллюстрациям самостоятельный подбор иллюстраций применения каждого инструмента самостоятельные работы и создание собственного рекламного проектакаждая лекция будет сопровождаться информационными акцентами большим количеством иллюстративного материала а также списком дополнительных источников по теме,Открытое образование
История России,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11242262,онлайнкурс история россии охватывает наиболее важные периоды более чем тысячелетней истории нашей страны от расселения восточных славян на европейской равнине и образования государства русь в ix в до начала xxi в основное внимание уделено развитию российской государственности истории культуры и общественной мысли при этом особо в онлайнлекциях освещены ключевые переломные моменты российской истории события и процессы во многом определивших дальнейшую судьбу страны это  смутное время начала xvii в преобразования петра i реформы 60  70х гг xix в великая российская революция великая отечественная война распад ссср и становление современной российской федерациивсе темы онлайнкурса рассматриваются в проблемном ключе в отношении многих событий и явлений их причин и последствий приводиться различные взгляды и оценки существующие в научной литературе и исторической мысли задача онлайн курса по истории россии не только в том чтобы изложить наиболее значимые факты рассказать о наиболее важных событиях но и нацелить обучающихся на осмысление российской истории,Stepik
История России,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=604838,наше непростое время ставит перед каждым человеком задачу определения своего места в постоянно усложняющейся жизни общества формирования собственной позиции по множеству острейших вопросов занимающих сознание современников не секрет что многие из них уходят корнями в прошлое порою далекое а порою не очень как бы там ни было мы не сможем получить ответы на большинство этих вопросов не попытавшись понять их истоки уяснить причины вызвавшие к жизни ворох проблем от решения которых зависит существование нашей страны а с учетом ее масштабов и роли во всемирной истории  то и человечества в целом помочь в этом призван предлагаемый вашему вниманию курс история россии посвященный ключевым событиям нашего прошлого трагическим и радостным вселяющим гордость за отечество и вызывающим боль за судьбы миллионов людей ставших жертвами потрясений которыми российская история так богата на страницах этого курса вы найдете рассказ о ее крупнейших деятелях на столетия вперед определивших судьбы народов россии здесь вы познакомитесь с основными подходами к изучению прошлого найдете объяснение базовых понятий исторической науки научитесь понимать уникальность отдельных событий в прошлом а также многофакторность и альтернативность исторического процесса в целом,Лекториум
История России,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=131074,вас ждут уникальные лекции ведущих профессоров спбгу интересные задания интерактивные карты и многое другое онлайнкурс история россии следует традиции преподавания истории россии в спбгу отличающейся проблемным подходом к научному осмыслению событий периодов эпох в их исторической взаимосвязи тщательно подобранный фактический материал служит основой для приглашения слушателя к самостоятельному анализу истории российской государственности формированию у него осознанной гражданской позиции курс охватывает историю российского государства на всём её протяжении  с ix до xxi в  и предлагает студентам включиться в обсуждение актуальных вопросов российской истории в результате освоения курса участники получат структурированное представление об основных этапах отечественной истории базирующееся на утвердившихся в историографии фактах и концепциях,Открытое образование
История России в образах великих соотечественников,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=604391,"курс история россии в образах великих соотечественников знакомит детей из семей мигрантов с ключевыми событиями истории россии сквозь призму деятельности и личных качеств крупнейших исторических деятелей нашего государства обучающийся сможет ознакомиться с основными памятниками культуры духовными ценностями и традициями российского общества уважительно относиться к ним научиться понимать и уважать особенности национального и конфессионального состава рф оценить роль русского языка как средства межнационального общения

изучение курса позволит освоить культурный опыт российского народа узнать его вклад в мировую историю и культуру

целью обучения является формирование у детей мигрантов знания истории и культуры россии воспитание уважения к многонациональному российскому народу его традициям и законам как средства их адаптации и интеграции в российское общество

курс состоит из одиннадцати разделов 

первые три раздела знакомят обучающихся с историей древней руси с преодолением политической раздробленности и образованием московского государства через исторические личности князей олега и владимира ярослава мудрого и юрия долгорукова ивана калиты дмитрия донского ивана i освобождение от ордынской зависимости  

четвертый раздел представлен эпохой петра i и его реформами культурой россии xviii в правлением екатерины ii великой  

пятый и шестой разделы программы освещают события происходившие в российской империи в xix   начале xx вв отечественная война 1812 года развитие российской науки культура первой половины xix в эпоха великих реформ первая российская революция и её итоги мировая война

седьмой восьмой девятый и десятый разделы   посвящены истории россии xx века   великая российская революция 1917 г февральская революция советская культура 19201930х гг ссср в годы великой отечественной войны cccp в послевоенный период 19451964 гг ссср в 19641991 гг перестройка и распад ссср

одиннадцатый раздел посвящен политическому и экономическому развитию рф реформы бн ельцина вв путина  знакомит с культурной жизнью и духовными традициями многонациональной современной россии",Образование на русском
